# ワードウルフ お題リスト
# 書き方: 市民のお題,ウルフのお題
# 「#」で始まる行はコメント（無視されます）
# 空行も無視されます

# 食べ物・飲み物
ラーメン,うどん
すし,刺身
カレー,シチュー
コーヒー,紅茶
バーガー,ホットドッグ
ピザ,グラタン
アイスクリーム,シャーベット
ケーキ,プリン
チョコレート,キャラメル
おにぎり,サンドイッチ
焼肉,しゃぶしゃぶ
たこやき,お好み焼き
コーラ,サイダー
ビール,ワイン
いちご,さくらんぼ
ラーメン,つけ麺
寿司,天ぷら
焼き鳥,串カツ
パスタ,うどん
アイスコーヒー,コールドブリュー

# 動物
犬,猫
ライオン,トラ
イルカ,クジラ
ハムスター,リス
カエル,トカゲ
パンダ,コアラ
ペンギン,アザラシ
キリン,シマウマ
タコ,イカ
ウサギ,ネコ
ゾウ,サイ
チーター,ヒョウ
金魚,メダカ
インコ,オウム
柴犬,秋田犬

# 場所・施設
海,プール
山,丘
映画館,劇場
スーパー,コンビニ
図書館,書店
病院,クリニック
学校,塾
温泉,銭湯
神社,お寺
遊園地,テーマパーク
空港,駅
ホテル,旅館
公園,広場
水族館,動物園
美術館,博物館

# 乗り物
電車,バス
飛行機,ヘリコプター
新幹線,特急
自転車,バイク
タクシー,Uber
船,フェリー
ロープウェイ,ケーブルカー
消防車,救急車
トラック,バン

# スポーツ・エンタメ
サッカー,ラグビー
野球,ソフトボール
テニス,バドミントン
マンガ,アニメ
ゲーム,おもちゃ
ギター,ベース
バスケ,バレー
水泳,飛び込み
卓球,テニス
ボウリング,カーリング

# 日常・その他
スマホ,タブレット
テレビ,パソコン
お風呂,シャワー
昼寝,仮眠
散歩,ジョギング
掃除,洗濯
桜,梅
雪,雨
日傘,雨傘
財布,カード入れ
眼鏡,コンタクト
時計,スマートウォッチ
枕,クッション
カーテン,ブラインド
